# date, mag, err_mag
-0.000 21.068737 0.204870
1.000 21.688551 0.204541
2.000 20.879344 0.204164
3.000 20.944295 0.203858
4.000 21.113927 0.203855
5.000 21.133875 0.203927
6.000 21.637663 0.204027
7.000 21.624293 0.204082
8.000 21.548785 0.204193
9.000 21.516041 0.204318
10.000 21.140408 0.204817
11.000 21.288726 0.205274
12.000 21.784001 0.205798
13.000 21.996131 0.206465
14.000 21.911390 0.206839
15.000 21.811396 0.207134
16.000 22.100549 0.207497
17.000 22.154377 0.207784
18.000 22.185112 0.207987
19.000 22.129271 0.208498
20.000 22.384748 0.209062
21.000 22.652572 0.209455
22.000 22.727980 0.209677
23.000 22.108678 0.210044
24.000 22.648937 0.210463
25.000 22.809880 0.210522
26.000 22.896175 0.210466
27.000 22.446584 0.210478
28.000 22.383312 0.210522
29.000 22.450802 0.210688
30.000 22.485025 0.210369
31.000 22.357863 0.209969
32.000 22.157703 0.209342
33.000 22.290843 0.208736
34.000 22.337922 0.208009
35.000 21.853534 0.207200
36.000 21.612925 0.206447
37.000 22.032201 0.205747
38.000 21.385664 0.205262
39.000 21.325682 0.204781
40.000 21.368715 0.204284
41.000 21.390271 0.204293
42.000 21.542540 0.204556
43.000 21.204499 0.204945
44.000 21.537469 0.205258
45.000 21.448419 0.205424
46.000 21.326989 0.205531
47.000 22.004281 0.205434
48.000 21.551754 0.205133
49.000 21.664606 0.205142
50.000 21.677615 0.205597
51.000 21.667370 0.206264
52.000 21.854028 0.206872
53.000 22.500681 0.207451
54.000 22.195093 0.208036
55.000 22.259884 0.208299
56.000 22.381364 0.208535
57.000 22.248551 0.208633
58.000 22.327540 0.208979
59.000 22.153569 0.209318
60.000 22.749255 0.209312
61.000 22.382358 0.209221
62.000 22.436405 0.208912
63.000 22.367402 0.208213
64.000 21.953982 0.207507
65.000 21.778771 0.207143
66.000 21.929007 0.206852
67.000 21.864493 0.206647
68.000 22.062948 0.206738
69.000 21.645257 0.207010
70.000 21.553797 0.207044
71.000 21.869464 0.206805
72.000 21.774443 0.206538
73.000 21.808248 0.206430
74.000 21.514060 0.206280
75.000 21.619280 0.206123
76.000 22.095177 0.205810
77.000 21.595188 0.205366
78.000 21.381773 0.205143
79.000 21.564299 0.204906
80.000 21.535688 0.204642
81.000 21.095850 0.204459
82.000 21.327418 0.204102
83.000 21.444675 0.203929
84.000 20.946221 0.203779
85.000 20.779609 0.203588
86.000 21.194605 0.203454
87.000 21.331816 0.203240
88.000 21.488299 0.202701
89.000 21.123753 0.201876
90.000 21.264773 0.201554
91.000 20.668169 0.201423
92.000 20.855345 0.201360
93.000 20.512006 0.201471
94.000 20.823490 0.201643
95.000 21.198140 0.201901
96.000 20.853189 0.201797
97.000 20.712206 0.201346
98.000 20.795364 0.200601
99.000 20.380524 0.199972
100.000 20.464680 0.199636
101.000 20.465941 0.199215
102.000 20.014687 0.198972
103.000 20.656532 0.199401
104.000 20.755781 0.200040
105.000 20.705806 0.200660
106.000 20.831530 0.201317
107.000 20.860739 0.201758
108.000 20.867516 0.201914
109.000 20.917249 0.201977
110.000 21.313189 0.202153
111.000 21.241779 0.202554
112.000 21.261269 0.202923
113.000 20.879098 0.203169
114.000 21.436332 0.203531
115.000 21.400372 0.203921
116.000 21.015824 0.204507
117.000 21.109893 0.204907
118.000 21.519441 0.205039
119.000 21.493367 0.205127
