# date, mag, err_mag
-0.000 20.077177 0.201314
1.000 20.121362 0.201297
2.000 20.232384 0.201007
3.000 20.044991 0.201102
4.000 20.127751 0.201391
5.000 20.364737 0.201350
6.000 20.394703 0.201105
7.000 19.738772 0.201121
8.000 20.084697 0.200961
9.000 20.125289 0.200599
10.000 19.965289 0.200760
11.000 20.253375 0.201212
12.000 20.504115 0.201383
13.000 20.352353 0.201374
14.000 20.467371 0.201573
15.000 20.649186 0.201650
16.000 20.330959 0.201749
17.000 20.497729 0.201705
18.000 20.349316 0.201761
19.000 20.713516 0.202015
20.000 20.845152 0.201919
21.000 20.095764 0.201288
22.000 19.933275 0.200790
23.000 20.386444 0.200444
24.000 19.916692 0.199866
25.000 20.035531 0.199182
26.000 19.864840 0.198655
27.000 19.284856 0.198140
28.000 19.624556 0.197266
29.000 19.335086 0.196003
30.000 19.284085 0.194636
31.000 18.549837 0.193458
32.000 18.497267 0.192900
33.000 18.770024 0.192506
34.000 18.592659 0.192238
35.000 18.608113 0.192286
36.000 18.894361 0.192419
37.000 18.236500 0.191862
38.000 18.383349 0.191251
39.000 18.482740 0.190875
40.000 18.233803 0.190697
41.000 18.372397 0.191193
42.000 18.617826 0.191890
43.000 18.789791 0.192227
44.000 18.739539 0.192003
45.000 18.794010 0.191840
46.000 18.347096 0.192047
47.000 18.586589 0.192752
48.000 19.077332 0.193560
49.000 18.849252 0.193971
50.000 18.727635 0.193999
51.000 18.903495 0.194018
52.000 18.958839 0.194038
53.000 18.877857 0.194697
54.000 19.435985 0.196201
55.000 19.498343 0.197352
56.000 19.513304 0.197639
57.000 19.496149 0.197642
58.000 19.588784 0.197802
59.000 20.000779 0.197623
60.000 19.631697 0.196906
61.000 19.719781 0.196660
62.000 19.364920 0.196952
63.000 19.618040 0.197183
64.000 19.402185 0.197197
65.000 19.342661 0.197060
66.000 19.355862 0.196833
67.000 19.495758 0.196374
68.000 19.003847 0.196265
69.000 19.240782 0.196455
70.000 19.778157 0.196873
71.000 19.891688 0.197423
72.000 19.768570 0.198036
73.000 20.224067 0.199162
74.000 20.689901 0.200353
75.000 20.081912 0.201329
76.000 20.891862 0.202023
77.000 20.681783 0.202117
78.000 20.659297 0.202196
79.000 20.512982 0.202802
80.000 20.632740 0.203902
81.000 20.804948 0.204548
82.000 21.182704 0.204549
83.000 20.994146 0.204431
84.000 20.391898 0.203994
85.000 20.582924 0.203587
86.000 20.832108 0.203145
87.000 20.723248 0.202589
88.000 20.280650 0.202030
89.000 20.465315 0.201128
90.000 20.371128 0.200718
91.000 20.207299 0.200273
92.000 20.104860 0.199470
93.000 19.740152 0.197903
94.000 19.157933 0.196606
95.000 18.820396 0.195801
96.000 19.127289 0.195027
97.000 19.090842 0.195084
98.000 18.891929 0.194855
99.000 18.999389 0.194772
100.000 19.166022 0.194642
101.000 18.800592 0.194577
102.000 19.133419 0.195050
103.000 19.018289 0.195388
104.000 19.248059 0.195816
105.000 19.250331 0.195862
106.000 19.115340 0.195936
107.000 19.361283 0.196432
108.000 19.730848 0.197308
109.000 19.873872 0.198002
110.000 19.566825 0.198601
111.000 20.147397 0.198929
112.000 19.687957 0.198637
113.000 19.856861 0.198136
114.000 19.881308 0.197927
115.000 19.790365 0.198083
116.000 20.037514 0.198811
117.000 19.989439 0.199192
118.000 20.207095 0.199170
119.000 19.652580 0.198352
120.000 19.491065 0.197464
121.000 19.096564 0.196757
122.000 19.274108 0.196320
123.000 18.979756 0.195907
124.000 19.510902 0.195751
125.000 18.987710 0.195309
126.000 19.014350 0.195100
127.000 19.115886 0.195011
128.000 19.252589 0.194810
129.000 19.178320 0.195060
130.000 19.037663 0.195857
131.000 19.588028 0.196426
132.000 19.648364 0.196697
133.000 19.345897 0.196835
134.000 19.399842 0.197352
135.000 19.498134 0.198081
136.000 19.653366 0.198576
137.000 19.587847 0.198265
138.000 20.150388 0.197644
139.000 19.245177 0.197080
140.000 19.672734 0.196827
141.000 19.419251 0.196374
142.000 19.619291 0.196314
143.000 19.174538 0.196714
144.000 19.903419 0.197202
145.000 19.405375 0.198002
146.000 19.789011 0.199004
147.000 20.168123 0.200172
148.000 20.093939 0.200463
149.000 19.944338 0.200306
150.000 20.517521 0.200077
151.000 20.080357 0.199882
152.000 20.168470 0.199965
153.000 20.015494 0.200435
154.000 20.006789 0.200564
155.000 20.783919 0.200692
156.000 19.827756 0.200201
157.000 19.882711 0.199720
158.000 20.042264 0.198904
159.000 19.677742 0.197777
160.000 19.379638 0.197019
161.000 19.376626 0.196037
162.000 19.297215 0.195218
163.000 19.223480 0.194710
164.000 18.922306 0.194066
165.000 18.728515 0.193500
166.000 18.959163 0.193233
167.000 18.505783 0.192678
168.000 18.384998 0.192183
169.000 18.417910 0.191804
170.000 18.281727 0.191090
171.000 18.164287 0.190412
172.000 18.036898 0.189970
173.000 18.245508 0.189858
174.000 18.121097 0.190007
175.000 18.026683 0.190775
176.000 18.188235 0.191699
177.000 18.558472 0.192273
178.000 18.691139 0.192778
179.000 18.674392 0.193092
180.000 18.678628 0.192663
181.000 18.760494 0.192485
182.000 18.733054 0.192517
183.000 18.771412 0.192331
184.000 18.132548 0.191449
185.000 18.236669 0.190252
186.000 17.665481 0.189003
187.000 17.522441 0.188410
188.000 17.850608 0.188114
189.000 17.607094 0.187617
190.000 17.753683 0.187443
191.000 17.877947 0.187587
192.000 17.650409 0.187987
193.000 17.982294 0.188640
194.000 17.858993 0.189231
195.000 18.132759 0.189332
196.000 18.079363 0.189178
197.000 17.898199 0.189213
