# date, mag, err_mag
-0.000 20.609427 0.205056
1.000 20.638109 0.204831
2.000 20.515887 0.204600
3.000 20.614491 0.204412
4.000 20.479430 0.204180
5.000 20.540841 0.204059
6.000 20.485624 0.204137
7.000 20.552447 0.204431
8.000 20.936011 0.204794
9.000 20.899562 0.204893
10.000 20.433353 0.204735
11.000 20.477862 0.204672
12.000 20.762528 0.204676
13.000 20.764751 0.204820
14.000 20.573378 0.205079
15.000 20.311506 0.205575
16.000 21.061290 0.206135
17.000 20.871409 0.206849
18.000 21.417190 0.207595
19.000 21.492077 0.208113
20.000 21.388856 0.208751
21.000 21.416719 0.209410
22.000 21.905597 0.210045
23.000 21.819320 0.210379
24.000 21.292379 0.210328
25.000 21.669059 0.210383
26.000 21.658330 0.210686
27.000 21.648209 0.211022
28.000 21.999062 0.211148
29.000 22.064323 0.210950
30.000 21.545596 0.210529
31.000 21.542807 0.210395
32.000 21.968766 0.210446
33.000 21.810482 0.210558
34.000 21.801199 0.210550
35.000 21.932200 0.210610
36.000 22.087152 0.210585
37.000 22.166610 0.210382
38.000 21.558696 0.210371
39.000 21.769015 0.210467
40.000 22.140010 0.210762
41.000 22.125682 0.211198
42.000 21.973486 0.211512
43.000 21.899864 0.211675
44.000 21.897851 0.211557
45.000 21.826899 0.211598
46.000 22.210678 0.211668
47.000 22.043909 0.211894
48.000 22.110591 0.212006
49.000 22.053756 0.211893
50.000 22.309305 0.211742
51.000 22.009451 0.211468
52.000 22.045551 0.211224
53.000 22.339925 0.211343
54.000 21.774489 0.211634
55.000 22.148247 0.211717
56.000 21.941580 0.211847
57.000 21.995390 0.212099
58.000 22.210922 0.212120
59.000 22.349277 0.212305
60.000 22.370970 0.212309
61.000 22.463878 0.212324
62.000 21.935652 0.212523
63.000 22.283797 0.212686
64.000 22.519322 0.212854
65.000 22.579373 0.213054
66.000 22.141873 0.213301
67.000 22.570182 0.213326
68.000 22.389132 0.213113
69.000 22.255318 0.212905
70.000 22.247357 0.212623
71.000 22.658691 0.212255
72.000 22.264698 0.211916
73.000 21.998483 0.211713
74.000 21.961413 0.211463
75.000 21.942210 0.211041
76.000 21.983215 0.210698
77.000 21.788292 0.210555
78.000 21.395636 0.210344
79.000 21.759182 0.210134
80.000 21.662076 0.209817
81.000 21.410887 0.209533
82.000 21.582076 0.209309
83.000 21.129973 0.209181
84.000 21.630777 0.209303
85.000 21.227445 0.209571
86.000 21.945412 0.209873
87.000 21.672706 0.210280
88.000 21.686932 0.210417
89.000 21.888577 0.210389
90.000 21.416571 0.210326
91.000 21.850254 0.210266
92.000 21.854183 0.210376
93.000 22.013535 0.210563
94.000 22.102575 0.210753
95.000 22.187648 0.211181
96.000 21.725739 0.211758
97.000 22.009011 0.212121
98.000 22.282020 0.212430
99.000 22.156631 0.212807
100.000 22.374465 0.212978
101.000 22.179673 0.212692
102.000 21.832492 0.212416
103.000 22.391012 0.212200
104.000 22.085040 0.211957
105.000 21.791464 0.211850
106.000 22.123247 0.211802
107.000 22.289524 0.211829
108.000 21.842786 0.211980
109.000 22.277686 0.211831
110.000 21.921314 0.211377
111.000 21.759589 0.211090
112.000 22.018933 0.210862
113.000 21.732417 0.210418
114.000 21.701035 0.210088
115.000 21.824232 0.210155
116.000 21.482869 0.210508
117.000 21.720733 0.210863
118.000 21.681022 0.211005
119.000 21.746492 0.211041
120.000 22.381202 0.210906
121.000 21.988790 0.210691
122.000 21.876679 0.210430
123.000 21.772246 0.210357
124.000 21.764691 0.210382
125.000 21.949313 0.210366
126.000 21.575775 0.210509
127.000 22.169681 0.210554
128.000 21.590448 0.210232
129.000 21.815633 0.209627
130.000 21.179047 0.208976
131.000 21.806676 0.208310
132.000 20.974362 0.207741
133.000 21.063441 0.207476
134.000 21.322991 0.207395
135.000 21.102765 0.207524
136.000 21.663382 0.207622
137.000 21.305249 0.207564
138.000 21.148248 0.207479
139.000 21.131850 0.207605
140.000 21.118762 0.207690
141.000 21.320442 0.207787
142.000 20.940834 0.208079
143.000 21.350556 0.208315
144.000 21.653985 0.208313
145.000 21.225096 0.208397
146.000 21.265757 0.208322
147.000 21.570147 0.208314
148.000 21.588475 0.208113
149.000 20.955382 0.207723
150.000 21.243920 0.207403
151.000 21.230757 0.207230
152.000 21.318098 0.207221
153.000 21.134059 0.207712
154.000 21.303854 0.208176
155.000 21.293780 0.208576
156.000 21.088434 0.208739
157.000 21.702864 0.208954
158.000 21.224288 0.209058
159.000 21.782036 0.209003
160.000 21.621108 0.209347
161.000 21.648765 0.210094
162.000 22.126835 0.210816
